p5,1377643361740,clear,undefined,undefined
p5,1377643475585,pan,geo-0-1,1,-1
p5,1377643475611,pan,geo-0-1,3,-1
p5,1377643475628,pan,geo-0-1,0,-1
p5,1377643475660,pan,geo-0-1,0,0
p5,1377643478097,pan,geo-0-1,0,-1
p5,1377643478110,pan,geo-0-1,1,-2
p5,1377643478128,pan,geo-0-1,2,-5
p5,1377643478144,pan,geo-0-1,2,-8
p5,1377643478163,pan,geo-0-1,0,-6
p5,1377643478178,pan,geo-0-1,1,-6
p5,1377643478199,pan,geo-0-1,0,-3
p5,1377643478227,pan,geo-0-1,0,-4
p5,1377643478245,pan,geo-0-1,0,-1
p5,1377643478280,pan,geo-0-1,-1,-1
p5,1377643478293,pan,geo-0-1,-2,0
p5,1377643478312,pan,geo-0-1,-1,0
p5,1377643478378,pan,geo-0-1,0,0
p5,1377643478396,pan,geo-0-1,-1,0
p5,1377643478409,pan,geo-0-1,0,0
p5,1377643478427,pan,geo-0-1,-1,1
p5,1377643478723,pan,geo-0-1,-1,0
p5,1377643478747,pan,geo-0-1,-17,1
p5,1377643478765,pan,geo-0-1,-13,0
p5,1377643478780,pan,geo-0-1,-9,0
p5,1377643478815,pan,geo-0-1,-6,-1
p5,1377643478831,pan,geo-0-1,-4,-1
p5,1377643479084,pan,geo-0-1,-3,-1
p5,1377643479120,pan,geo-0-1,-3,0
p5,1377643479153,pan,geo-0-1,-16,0
p5,1377643479192,pan,geo-0-1,-4,0
p5,1377643479216,pan,geo-0-1,-8,-2
p5,1377643480653,pan,geo-0-1,-1,-1
p5,1377643480686,pan,geo-0-1,1,0
p5,1377643480715,pan,geo-0-1,0,0
p5,1377643480734,pan,geo-0-1,0,-1
p5,1377643480768,pan,geo-0-1,1,-1
p5,1377643480799,pan,geo-0-1,0,0
p5,1377643480817,pan,geo-0-1,1,-1
p5,1377643480854,pan,geo-0-1,0,0
p5,1377643481315,pan,geo-0-1,1,0
p5,1377643481328,pan,geo-0-1,0,0
p5,1377643481345,pan,geo-0-1,1,-1
p5,1377643481361,pan,geo-0-1,0,0
p5,1377643481395,pan,geo-0-1,1,0
p5,1377643481412,pan,geo-0-1,0,-1
p5,1377643481428,pan,geo-0-1,1,0
p5,1377643481462,pan,geo-0-1,1,-1
p5,1377643481478,pan,geo-0-1,1,0
p5,1377643481500,pan,geo-0-1,2,-1
p5,1377643481831,pan,geo-0-1,12,0
p5,1377643481845,pan,geo-0-1,3,0
p5,1377643481861,pan,geo-0-1,6,0
p5,1377643481878,pan,geo-0-1,7,0
p5,1377643481895,pan,geo-0-1,5,1
p5,1377643481912,pan,geo-0-1,10,3
p5,1377643481929,pan,geo-0-1,5,0
p5,1377643481944,pan,geo-0-1,4,0
p5,1377643481965,pan,geo-0-1,2,1
p5,1377643481988,pan,geo-0-1,2,0
p5,1377643482013,pan,geo-0-1,0,1
p5,1377643482817,pan,geo-0-1,0,0
p5,1377643482848,pan,geo-0-1,1,0
p5,1377643482865,pan,geo-0-1,0,0
p5,1377643482899,pan,geo-0-1,2,0
p5,1377643483218,pan,geo-0-1,0,1
p5,1377643483552,pan,geo-0-1,0,0
p5,1377643483589,pan,geo-0-1,0,1
p5,1377643483677,pan,geo-0-1,1,0
p5,1377643483700,pan,geo-0-1,0,0
p5,1377643483821,pan,geo-0-1,0,1
p5,1377643483866,pan,geo-0-1,0,0
p5,1377643483885,pan,geo-0-1,-1,1
p5,1377643483916,pan,geo-0-1,0,0
p5,1377643483933,pan,geo-0-1,-1,0
p5,1377643484071,pan,geo-0-1,-1,1
p5,1377643484099,pan,geo-0-1,-1,0
p5,1377643484126,pan,geo-0-1,-1,1
p5,1377643484150,pan,geo-0-1,-2,1
p5,1377643484167,pan,geo-0-1,-1,0
p5,1377643484186,pan,geo-0-1,-1,1
p5,1377643484215,pan,geo-0-1,-1,0
p5,1377643484454,pan,geo-0-1,0,1
p5,1377643484496,pan,geo-0-1,-1,0
p5,1377643484511,pan,geo-0-1,-2,1
p5,1377643484527,pan,geo-0-1,-1,1
p5,1377643485287,pan,geo-0-1,0,0
p5,1377643495932,pan,geo-0-1,2,0
p5,1377643495947,pan,geo-0-1,1,0
p5,1377643495973,pan,geo-0-1,2,0
p5,1377643496012,pan,geo-0-1,3,0
p5,1377643496029,pan,geo-0-1,1,0
p5,1377643496046,pan,geo-0-1,0,0
p5,1377643496419,pan,geo-0-1,0,1
p5,1377643496481,pan,geo-0-1,0,0
p5,1377643498184,pan,geo-0-1,0,2
p5,1377643498215,pan,geo-0-1,0,3
p5,1377643498247,pan,geo-0-1,-1,2
p5,1377643498284,pan,geo-0-1,-1,3
p5,1377643498464,pan,geo-0-1,0,0
p5,1377643499232,pan,geo-0-1,0,1
p5,1377643499247,pan,geo-0-1,0,2
p5,1377643499302,pan,geo-0-1,0,4
p5,1377643499318,pan,geo-0-1,0,7
p5,1377643499340,pan,geo-0-1,0,9
p5,1377643499400,pan,geo-0-1,0,4
p5,1377643499745,pan,geo-0-1,0,0
p5,1377643502557,range select,bar-5,5-0-0-1_
p5,1377643507164,range select,bar-5,5-1-1-1_
p5,1377643508628,range select,bar-5,5-2-2-1_
p5,1377643509349,range select,bar-5,5-3-3-1_
p5,1377643510510,range select,bar-5,5-4-4-1_
p5,1377643512244,range select,bar-5,5-2-2-1_
p5,1377643513256,range select,bar-5,5-0-0-1_
p5,1377643525774,range select,bar-5,5-1-1-1_
p5,1377643529184,range select,bar-5,5-2-2-1_
p5,1377643530959,range select,bar-5,5-3-3-1_
p5,1377643537482,pan,geo-0-1,0,0
p5,1377643537516,pan,geo-0-1,3,-3
p5,1377643537543,pan,geo-0-1,17,-15
p5,1377643537573,pan,geo-0-1,5,-5
p5,1377643537591,pan,geo-0-1,4,-3
p5,1377643537609,pan,geo-0-1,2,-3
p5,1377643537641,pan,geo-0-1,1,-2
p5,1377643537945,pan,geo-0-1,0,0
p5,1377643539262,pan,geo-0-1,-3,0
p5,1377643539295,pan,geo-0-1,-5,1
p5,1377643539333,pan,geo-0-1,-21,0
p5,1377643539362,pan,geo-0-1,-14,-2
p5,1377643539393,pan,geo-0-1,-2,0
p5,1377643539426,pan,geo-0-1,-1,1
p5,1377643539795,pan,geo-0-1,0,0
p5,1377643539825,pan,geo-0-1,3,-3
p5,1377643539841,pan,geo-0-1,2,-2
p5,1377643539868,pan,geo-0-1,3,-2
p5,1377643539887,pan,geo-0-1,3,-3
p5,1377643539903,pan,geo-0-1,2,-1
p5,1377643539938,pan,geo-0-1,3,-2
p5,1377643539954,pan,geo-0-1,1,-1
p5,1377643540004,pan,geo-0-1,0,-1
p5,1377643540022,pan,geo-0-1,1,0
p5,1377643540324,pan,geo-0-1,0,0
p5,1377643540354,pan,geo-0-1,0,-1
p5,1377643540788,pan,geo-0-1,0,0
p5,1377643543946,range select,bar-5,5-4-4-1_
